Title,Artist,Genres,Tags,Url
679,Fetty Wap Ft. Remy Boyz,Hip-Hop,Wedding,
1234,Feist,,Wedding,
7/11,Beyoncé,Pop,Wedding,
(I've Had) The Time of My Life,Bill Medley and Jennifer Warnes,,Wedding,
#Selfie,The Chainsmokers,,Wedding,
1 2 3 4,Plain White Ts,,Wedding,
24K Magic,Bruno Mars,,Wedding,https://www.youtube.com/watch?v=UqyT8IEBkvY
4 Minutes,Madonna,Pop/Rock,Wedding,
5 Years Time,Noah and the Whale,,Wedding,
500 Miles,Sleeping at Last,,Wedding,
679 (feat. Remy Boyz),Fetty Wap,Hip-Hop/Rap,Wedding,
A Thousand Years,Christina Perri,,Wedding,
Abc,Jackson 5,Pop,Wedding,
Africa,Toto,,Wedding,https://www.youtube.com/watch?v=FTQbiNvZqaY
Ain't No Mountain High Enough,Marvin Gaye,,Wedding,
Ain't That a Kick in the Head,Dean Martin,,Wedding,https://www.youtube.com/watch?v=KvYfsbtExoU
Aint no other man,Christina Aguilera,Unknown,Wedding,
Air from The Water Music,Handel,,Wedding,
All About That Bass,Meghan Trainor,,Wedding,
All of Me,John Legend,,Wedding,https://www.youtube.com/watch?v=450p7goxZqg&list=LLegLrt_yrG8WZM3QXSCDaUg&index=149
All That She Wants,Ace of Base,Pop,Wedding,
All You Need is Love,The Beatles,,Wedding,
Always Be My Baby,Mariah Carey,,Wedding,https://www.youtube.com/watch?v=LfRNRymrv9k
Amazed,Lonestar,,Wedding,
Amazing,George Michael,Pop,Wedding,
American Boy ,Kanye West,,Wedding,
Angel,Pharrell Williams,Soul and R&B,Wedding,
Angel,Shaggy ft. Rayvon,,Wedding,
Another Sunny Day,Belle and Sebastian,,Wedding,
Any Man of Mine,Shania Twain,,Wedding,
As,Stevie Wonder,,Wedding,
As Long as You Love Me,Backstreet Boys,,Wedding,https://www.youtube.com/watch?v=0Gl2QnHNpkA
At Last,Etta James,,Wedding,https://www.youtube.com/watch?v=S-cbOl96RFM
Ave Maria,Schubert,,Wedding,
Ayo,Chris Brown X Tyga,Hip-Hop/Rap,Wedding,
Baby Be Mine,Michael Jackson,Pop,Wedding,
Baby Got Back,Sir Mix-A-Lot,,Wedding,https://www.youtube.com/watch?v=X53ZSxkQ3Ho
Baby I Need Your Loving,The Four Tops,,Wedding,
Baby One More Time,Britney Spears,,Wedding,https://www.youtube.com/watch?v=C-u5WLJ9Yk4
Back To You,Twin Forks,,Wedding,
Beat It,Michael Jackson,Pop,Wedding,
Beautiful Day,U2,,Wedding,
Beautiful Liar [Remix] (feat. Shakira),Beyonce,R&B,Wedding,
Because You Loved Me,Celine Dion,,Wedding,https://www.youtube.com/watch?v=VMCTpQYqDLI
Beggin (Original Version),Madcon,Dance,Wedding,
Best Day of My Life,American Authors,,Wedding,
Best Part,H.E.R.,,Wedding,
Better off Alone,Alice Deejay,Electronica,Wedding,
Better Together,Jack Johnson,,Wedding,
Billie Jean,Michael Jackson,,Wedding,
Bitch Better Have My Money,Rihanna,Pop,Wedding,
Black or white,Michael jackson,Pop,Wedding,
Black Skinhead,Kanye West,Rap,Wedding,
Blame It On The Boogie,Michael Jackson & The Jackson Five,Other,Wedding,
Bless the Broken Road,Rascal Flatts,,Wedding,
Blest Are They,David Haas,,Wedding,
Blurred Lines,Robin Thicke/T.I./Pharrell,R&B/Soul,Wedding,
Boogie Wonderland,Earth Wind & Fire,Funk,Wedding,
Boot Scootin' Boogie,Brooks & Dunn,,Wedding,https://www.youtube.com/watch?v=d05tQrhNMkA
Bootylicious,Destiny's Child,R&B/Hip-Hop,Wedding,
Boyfriend,Alphabeat,Pop,Wedding,
Brick House,Commodores,,Wedding,https://www.youtube.com/watch?v=rrBx6mAWYPU
Brown Eyed Girl,Van Morrison,,Wedding,
Bubble Butt [Remix],Major Lazer/Bruno Mars/2 Chainz/Tyga/Mystic,Electronic,Wedding,
Bug A Boo (Borneland remix),Destiny's Child,,Wedding,
By Your Side,Sade,,Wedding,
Calabria 2008,Natasja,Reggae,Wedding,
California Stars,Wilco and Billy Bragg,,Wedding,
Call Me Maybe,Carly Rae Jepsen,Pop,Wedding,
Call on Me,Eric Prydz,,Wedding,
Can I Get Get Get,Junior Senior,Pop,Wedding,
Can You Feel the Love Tonight,Elton John,,Wedding,https://www.youtube.com/watch?v=KjgWWjkNbhU
Can't Feel My Face,The Weeknd,R&B/Soul,Wedding,
Can't Help Falling in Love,Elvis Presley,,Wedding,
Can't Help Falling in Love,Haley Reinhart,,Wedding,
Can't Hurry Love,Diana Ross & The Supremes,,Wedding,
Can't Stop the Feeling!,Justin Timberlake,,Wedding,https://www.youtube.com/watch?v=ru0K8uYEZWw
Can't Take My Eyes Off of You,Frankie Valli,,Wedding,
Candyman,Christina Aguilera,,Wedding,
Canon in D,Pachelbel,,Wedding,
Cant Feel My Face,The Weeknd,,Wedding,
Celebration,Kool & The Gang,,Wedding,https://www.youtube.com/watch?v=3GwjfUFyY6M
Cha Cha Slide,Mr. C The Slide Man,,Wedding,https://www.youtube.com/watch?v=wZv62ShoStY
Chapel of Love,The Dixie Cups,,Wedding,
Check On It (Feat. Slim Thug),Beyonce,R&B,Wedding,
Cheerleader (Felix Jaehn Remix) ,OMI,,Wedding,
Chicken Fried,the Zac Brown Band,,Wedding,https://www.youtube.com/watch?v=e4ujS1er1r0
Cinderella,Steven Curtis Chapman,,Wedding,
Clarity,Evan Duffy,,Wedding,
Close to You,Bebe Winans,,Wedding,
Closer,The Chainsmokers ft. Halsey,,Wedding,
Closer,Tegan and Sara,,Wedding,
Club Can't Handle Me,Flo Rida ft. David Guetta,,Wedding,
Come Away With Me,Norah Jones,,Wedding,
Come Fly with Me,Frank Sinatra,,Wedding,https://www.youtube.com/watch?v=HmQq6yLe2ww
Come Rain or Come Shine,Ray Charles,,Wedding,
Country Girl (Shake It For Me),Luke Bryan,,Wedding,https://www.youtube.com/watch?v=7HX4SfnVlP4
Cowboy Take Me Away,The Dixie Chicks,,Wedding,
Crazy,Patsy Cline,,Wedding,
Crazy in Love,Beyoncé and Jay Z,,Wedding,https://www.youtube.com/watch?v=ViwtNLUqkMY
Crazy Little Thing Called Love,Queen,,Wedding,
Crush,Dave Matthews Band,,Wedding,
Cupid Shuffle,Cupid,,Wedding,
Dance Wiv Me (Radio),Dizzee Rascal Calvin Harris & Chrome,Pop,Wedding,
Dancing In The Moonlight,Toploader,Other,Wedding,
Dancing Queen,ABBA,,Wedding,https://www.youtube.com/watch?v=xFrGuyw1V8s
Daughters,John Mayer,,Wedding,https://www.youtube.com/watch?v=rZLbUIa7exE
Dear Future Husband,Meghan Trainor,,Wedding,
Dirty Diana,Michael Jackson,Pop,Wedding,
Do You Realize??,The Flaming Lips,,Wedding,
Dog Days Are Over,Florence + The Machine,,Wedding,
Don't Go Breaking My Heart,Elton John and Kiki Dee,,Wedding,https://www.youtube.com/watch?v=z0qW9P-uYfM
Don't Mess With My Man,Lucy Pearl,R&B,Wedding,
Don't Stop 'Til You Get Enough,Michael Jackson,Pop,Wedding,
Don't Stop Believin',Journey,,Wedding,https://www.youtube.com/watch?v=1k8craCGpgs
Don't Stop The Music,Rihanna,Pop,Wedding,
Don't Tell 'Em (feat. YG),Jeremih,R&B/Soul,Wedding,
Dreams Are More Precious,Enya,,Wedding,
E.I.,Nelly,,Wedding,
Earth Angel,Death Cab for Cutie,,Wedding,
Endless Love,Diana Ross & Lionel Richie,,Wedding,
Escapade,Janet Jackson,,Wedding,
Every Little Thing She Does Is Magic,Sleeping At Last,,Wedding,
Everybody (Backstreet's Back),Backstreet Boys,,Wedding,
Everything,Michael Bublé,,Wedding,
Everything is Awesome,Tegan and Sara (from The Lego Movie),,Wedding,
Falling Like The Stars,James Arthur,,Wedding,
Fancy (feat. Charli XCX),Iggy Azalea,Hip-Hop/Rap,Wedding,
Fantasy,Mariah Carey,,Wedding,https://www.youtube.com/watch?v=qq09UkPRdFY
Faster,Matt Nathanson,,Wedding,
Fastlove,George Michael,Pop,Wedding,
Feel Good (Oliver Heldens Remix),Robin Thicke,House,Wedding,
Fine China,Chris Brown,R&B/Soul,Wedding,
Firework,Katy Perry,,Wedding,
First Date,Blink 182,,Wedding,
First Day of My Life,Bright Eyes,,Wedding,
Flawless (Go To The City),George Michael,Pop,Wedding,
Footloose,Kenny Loggins,,Wedding,https://www.youtube.com/watch?v=ltrMfT4Qz5Y
Forever,Chris Brown,,Wedding,
Forever and Ever Amen,Randy Travis,,Wedding,https://www.youtube.com/watch?v=sgJXbIP83A8
Forever Young,Rod Stewart,,Wedding,https://www.youtube.com/watch?v=yGEe_zpddNI
Forget Me Nots,Patrice Rushen,R&B,Wedding,
Free Fallin',Tom Petty,,Wedding,https://www.youtube.com/watch?v=1lWJXDG2i0A
Fresh Eyes,Andy Grammer,,Wedding,
Friends in Low Places,Garth Brooks,,Wedding,https://www.youtube.com/watch?v=mvCgSqPZ4EM
From the Ground Up,Dan + Shay,,Wedding,
From this Moment On,Shania Twain,,Wedding,https://www.youtube.com/watch?v=a-Lp2uC_1lg
Genie in a Bottle,Christina Aguilera,,Wedding,https://www.youtube.com/watch?v=kIDWgqDBNXA
Get Down On It,Kool & The Gang,Funk,Wedding,
Get Down Saturday Night,Oliver Cheatham,,Wedding,
Get Down Tonight ,KC & The Sunshine Band,,Wedding,https://www.youtube.com/watch?v=jH6Cf9LOJ2I
get Low,Flo Rida ft. T-Pain,Other,Wedding,
Get lucky,Daft Punk,Andet,Wedding,
Get Right,Jennifer Lopez,Pop,Wedding,
Gettin' Jiggy Wit It,Will Smith,,Wedding,https://www.youtube.com/watch?v=3JcmQONgXJM
Gimme Some Lovin' ,The Spencer Davis Group,,Wedding,https://www.youtube.com/watch?v=ko3m0NBbq1o
Girl You're Alright,Paul Otten,,Wedding,
Girls Just Want to Have Fun,Cyndi Lauper,,Wedding,
Give It To Me Baby,Rick James,,Wedding,
Give It To Me Feat Nelly Furtado & Justin Timberlake,Timbaland,Hip-Hop,Wedding,
Give Me Love ,Ed Sheeran,,Wedding,
Give Me the Night,George Benson,R&B,Wedding,
Glamorous,Fergie ft. Ludacris,,Wedding,
God Gave Me You,Dave Barnes,,Wedding,
God in the Planning,John Bell,,Wedding,
God Only Knows,The Beach Boys,,Wedding,https://www.youtube.com/watch?v=uEomFTVGxo4
Going Back To My Roots,Odyssey,Disco,Wedding,
Gold Digger (Feat. Jamie Foxx),Kanye West,Hip Hop,Wedding,
Good Life,Kanye West ft. T-Pain,,Wedding,
Got To Give It Up Pt. 1,Marvin Gaye,R&B,Wedding,
Gust of Wind,Pharrell Williams,Pop,Wedding,
Halo,Beyoncé,,Wedding,
Happy,Pharrell Williams,,Wedding,https://www.youtube.com/watch?v=y6Sxv-sUYtM
Happy Together,The Turtles,,Wedding,
Have I Told You Lately,Van Morrison,,Wedding,
Have You Ever Been In Love,Celine Dion,,Wedding,
Here Comes the Sun,The Beatles,,Wedding,https://www.youtube.com/watch?v=KQetemT1sWc
Here Comes Your Man,The Pixies,,Wedding,
Hey Ya,Outkast,,Wedding,
Hideaway,Kiesza,Electronic,Wedding,
Higher Love,Kygo and Whitney Houston,,Wedding,https://www.youtube.com/watch?v=3gOHvDP_vCs
Hips Dont Lie ( Feat. Wyclef Jean),Shakira,,Wedding,
Ho Hey,The Lumineers,,Wedding,
Hold Me,Stevie Wonder,,Wedding,
Hold My Hand,Hootie and the Blowfish,,Wedding,https://www.youtube.com/watch?v=xoW3bqnr7tw
Home,Edward Sharpe and the Magnetic Zeros,,Wedding,
Honey Bee,Blake Shelton,,Wedding,
Hoppípolla,Sigur Rós,,Wedding,
Hot In Here,Nelly,Other,Wedding,
Hot Stuff,Donna Summer,,Wedding,
How Deep Is Your Love,Calvin Harris & Disciples,Deep House,Wedding,
How Deeply I Need You,Shekinah Glory,,Wedding,
How Long Will I Love You,Ellie Goulding,,Wedding,
How Sweet It Is (To Be Loved By You),Marvin Gaye,,Wedding,
How Will I Know,Whitney Houston,,Wedding,https://www.youtube.com/watch?v=m3-hY-hlhBg
I Am Yours,Andy Grammer,,Wedding,
I And Love And You,The Avett Brothers,,Wedding,
I Believe in a Thing Called Love,The Darkness,,Wedding,
I Can Love You Like That,All-4-One,,Wedding,https://www.youtube.com/watch?v=bg1uULaTtPU
I Can Only Imagine,MercyMe,,Wedding,
I Can't Help Myself (Sugar Pie Honey Bunch),The Four Tops,,Wedding,
I Choose You,Sara Bareilles,,Wedding,
I Cross My Heart,George Strait,,Wedding,
I Do,Colbie Caillat,,Wedding,https://www.youtube.com/watch?v=E0oyglKjbFQ
I Don't Fuck With You (feat. E-40),Big Sean,Hip-Hop/Rap,Wedding,
I Don't Want to Miss a Thing,Aerosmith,,Wedding,
I Found a Reason,The Velvet Underground,,Wedding,
I Got You (At The End of the Century),Wilco,,Wedding,
I Got You (I Feel Good),James Brown,,Wedding,
I Gotta Feeling,The Black Eyed Peas,,Wedding,https://www.youtube.com/watch?v=uSD4vsh1zDA
I Hope You Dance,Lee Ann Womack,,Wedding,
I Knew I Loved You,Savage Garden,,Wedding,https://www.youtube.com/watch?v=jjnmICxvoVY
I Love It,Icona Pop,,Wedding,
I Need You,Leann Rimes,,Wedding,https://www.youtube.com/watch?v=AA_5sLaTErQ
I Never,Rilo Kiley,,Wedding,
I Never Lost My Praise,Brooklyn Tabernacle Choir,,Wedding,
I Swear,All-4-One,,Wedding,https://www.youtube.com/watch?v=25rL-ooWICU
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,,Wedding,https://www.youtube.com/watch?v=eH3giaIzONA
I Want It That Way,Backstreet Boys,,Wedding,https://www.youtube.com/watch?v=4fndeDfaWCg
I Want to Know What Love Is,Foreigner,,Wedding,https://www.youtube.com/watch?v=raNGeq3_DtM
I Want You Back,Jackson 5,Pop,Wedding,
I Want You To Want Me,Letters to Cleo,,Wedding,
I Will,The Beatles,,Wedding,
I Will Always Love You,Whitney Houston,,Wedding,https://www.youtube.com/watch?v=3JWTaaS7LdU
I Will Be Here,Steven Curtis Chapman,,Wedding,
I Will Survive,Gloria Gaynor,Other,Wedding,
I Will Wait,Mumford & Sons,,Wedding,
I Wish,Stevie Wonder,,Wedding,
I Won't Give Up,Jason Mraz,,Wedding,
I'll Make Love To You ,Boyz II Men,,Wedding,https://www.youtube.com/watch?v=fV8vB1BB2qc
I'm Gonna Make You My Wife,the Whispers,,Wedding,
I'm Kissing You,Des'ree,,Wedding,
I'm Yours,Jason Mraz,,Wedding,
I've Got You Under My Skin,Frank Sinatra,,Wedding,https://www.youtube.com/watch?v=C1AHec7sfZ8
I’ll Be,Edwin McCain,,Wedding,https://www.youtube.com/watch?v=5qrTmNDZ-nc
Ice Ice Baby,Vanilla Ice,,Wedding,
If I Ain't Got You,Alicia Keys,,Wedding,
If Not For You,George Harrison,,Wedding,
Imaginary Love,Rufus Wainwright,,Wedding,
In Case You Didn’t Know,Brett Young,,Wedding,
In My Life,The Beatles,,Wedding,
In Your Eyes,Peter Gabriel,,Wedding,https://www.youtube.com/watch?v=B3kFPBtc9BE
Infinity 2008 (Klaas Vocal Edit),Guru Josh Project,Dance,Wedding,
Isn't She Lovely,Stevie Wonder,,Wedding,https://www.youtube.com/watch?v=IVvkjuEAwgU
It Had To Be You,Harry Connick Jr.,,Wedding,
It Wasn't Me (Feat. Rikrok),Shaggy,Reggae,Wedding,
It's For My Dad,Nancy Sinatra,,Wedding,
It's Oh So Quiet,Björk,,Wedding,
It's Your Love,Tim McGraw with Faith Hill,,Wedding,https://www.youtube.com/watch?v=2AJ4i4S_fP8
Its raining men,Pointer Sisters,Other,Wedding,
January Wedding,The Avett Brothers,,Wedding,
Jenny From The Block (Feat. Styles And Jadakiss),Jennifer Lopez,Pop,Wedding,
Jessie's Girl,Rick Springfield,,Wedding,https://www.youtube.com/watch?v=qYkbTyHXwbs
Jump Around,House of Pain,,Wedding,https://www.youtube.com/watch?v=XhzpxjuwZy0
Jurassic Park Theme,Thomas Oliver (from Jurassic Park),,Wedding,
Just Breathe,Pearl Jam,,Wedding,
Just Like Heaven,The Cure,,Wedding,
Just Like Honey,The Jesus and Mary Chain,,Wedding,
Just the Way You Are,Bruno Mars,,Wedding,
Kiss,Prince,,Wedding,
Kiss Me,Ed Sheeran,,Wedding,
L-O-V-E,Nat King Cole,,Wedding,https://www.youtube.com/watch?v=JErVP6xLZwg
La Vie En Rose,Ingrid Mapson,,Wedding,
Ladies Night,Kool & The Gang,Funk,Wedding,
Last Night A DJ Saved My Life,INDEEP,Disco,Wedding,
